href,timeslots,prices,n_timeslots,n_prices,match,timeRangeInHrs,priceInDollars
https://www.dayuse.sg/hotels/singapore/relc-international-hotel,"['8:00 AM - 6:00 PM', '10:00 AM - 8:00 PM']","['SGD\xa090', 'SGD\xa0130', 'SGD\xa095', 'SGD\xa0140']",2,4,No,"[10.0, 10.0]","[['90'], ['130'], ['95'], ['140']]"
https://www.dayuse.sg/hotels/singapore/30-bencoolen,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/j8-hotel-sg-clean,"['9:00 AM - 1:00 PM', '2:00 PM - 6:00 PM', '7:00 PM - 11:00 PM']","['SGD\xa066', 'SGD\xa060', 'SGD\xa060']",3,3,Yes,"[4.0, 4.0, 4.0]","[['66'], ['60'], ['60']]"
https://www.dayuse.sg/hotels/singapore/reddoorz-near-marine-parade-central-sg-clean,"['8:00 AM - 3:00 PM', '10:00 AM - 4:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa060', 'SGD\xa060', 'SGD\xa065']",3,3,Yes,"[7.0, 6.0, 6.0]","[['60'], ['60'], ['65']]"
https://www.dayuse.sg/hotels/singapore/orchard-hotel-singapore,"['8:00 AM - 8:00 PM', '8:00 AM - 3:00 PM', '9:00 AM - 5:00 PM', '11:00 AM - 7:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa0140', 'SGD\xa0130', 'SGD\xa0130', 'SGD\xa0120', 'SGD\xa0140']",5,5,Yes,"[12.0, 7.0, 8.0, 8.0, 6.0]","[['140'], ['130'], ['130'], ['120'], ['140']]"
https://www.dayuse.sg/hotels/singapore/parkroyal-on-beach-road,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/the-fullerton-bay-hotel-singapore-sg-clean,['9:00 AM - 9:00 PM'],"['SGD\xa0390', 'SGD\xa0450']",1,2,No,[12.0],"[['390'], ['450']]"
https://www.dayuse.sg/hotels/singapore/amara-sanctuary-resort-sentosa,"['9:00 AM - 3:00 PM', '3:00 PM - 10:00 PM']","['SGD\xa0150', 'SGD\xa0190']",2,2,Yes,"[6.0, 7.0]","[['150'], ['190']]"
https://www.dayuse.sg/hotels/singapore/hotel-nuve-urbane-sg-clean,"['8:00 AM - 1:00 PM', '11:00 AM - 4:00 PM', '6:00 PM - 11:00 PM']","['SGD\xa085', 'SGD\xa0110', 'SGD\xa070', 'SGD\xa095', 'SGD\xa0190', 'SGD\xa075', 'SGD\xa0115']",3,7,No,"[5.0, 5.0, 5.0]","[['85'], ['110'], ['70'], ['95'], ['190'], ['75'], ['115']]"
https://www.dayuse.sg/hotels/singapore/siloso-beach-resort-sentosa,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/m-hotel-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/hotel-g-singapore,['7:00 AM - 7:00 PM'],"['SGD\xa075', 'SGD\xa080', 'SGD\xa090', 'SGD\xa0120']",1,4,No,[12.0],"[['75'], ['80'], ['90'], ['120']]"
https://www.dayuse.sg/hotels/singapore/q-loft-hotelsatgeylang,['12:00 PM - 6:00 PM'],['SGD\xa050'],1,1,Yes,[6.0],[['50']]
https://www.dayuse.sg/hotels/singapore/hotel-royal-sg-clean,"['9:00 AM - 6:00 PM', '10:00 AM - 4:00 PM', '12:00 PM - 9:00 PM', '12:00 PM - 6:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa085', 'SGD\xa085', 'SGD\xa070', 'SGD\xa070', 'SGD\xa0100', 'SGD\xa085', 'SGD\xa085', 'SGD\xa070', 'SGD\xa070', 'SGD\xa0100', 'SGD\xa070', 'SGD\xa070', 'SGD\xa0100']",5,13,No,"[9.0, 6.0, 9.0, 6.0, 6.0]","[['85'], ['85'], ['70'], ['70'], ['100'], ['85'], ['85'], ['70'], ['70'], ['100'], ['70'], ['70'], ['100']]"
https://www.dayuse.sg/hotels/singapore/amara-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/villa-umbrella-singapore,"['9:00 AM - 5:00 PM', '10:00 AM - 6:00 PM']","['SGD\xa089', 'SGD\xa099', 'SGD\xa099', 'SGD\xa0109']",2,4,No,"[8.0, 8.0]","[['89'], ['99'], ['99'], ['109']]"
https://www.dayuse.sg/hotels/singapore/harbour-ville-hotel-sg-clean,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/sofitel-singapore-sentosa-resort-spa,['10:00 AM - 5:00 PM'],['SGD\xa0190'],1,1,Yes,[7.0],[['190']]
https://www.dayuse.sg/hotels/singapore/capri-by-fraser-changi-city-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/ambassador-transit-hotel-t3,"['8:00 AM - 8:00 PM', '8:00 AM - 2:00 PM']","['SGD\xa0230', 'SGD\xa0276', 'SGD\xa0153', 'SGD\xa0238']",2,4,No,"[12.0, 6.0]","[['230'], ['276'], ['153'], ['238']]"
https://www.dayuse.sg/hotels/singapore/crowne-plaza-changi-airport,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/mercure-singapore-on-stevens,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/studio-m-hotel,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/reddoorz-at-geylang-sg-clean,"['10:00 AM - 4:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa055', 'SGD\xa060']",2,2,Yes,"[6.0, 6.0]","[['55'], ['60']]"
https://www.dayuse.sg/hotels/singapore/xy-hotel-bugis-by-asanda-hotels-and-resorts,"['8:00 AM - 12:00 PM', '1:00 PM - 5:00 PM', '6:00 PM - 10:00 PM']","['SGD\xa095', 'SGD\xa098', 'SGD\xa0125', 'SGD\xa095', 'SGD\xa098', 'SGD\xa0125', 'SGD\xa095', 'SGD\xa098', 'SGD\xa0125']",3,9,No,"[4.0, 4.0, 4.0]","[['95'], ['98'], ['125'], ['95'], ['98'], ['125'], ['95'], ['98'], ['125']]"
https://www.dayuse.sg/hotels/singapore/lyf-funan-singapore-by-ascott-sg-clean,"['12:00 PM - 4:00 PM', '6:00 PM - 10:00 PM']","['SGD\xa075', 'SGD\xa075']",2,2,Yes,"[4.0, 4.0]","[['75'], ['75']]"
https://www.dayuse.sg/hotels/singapore/dorsett-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/the-quay-hotel-west-coast-sg-clean,"['7:00 AM - 12:00 PM', '1:00 PM - 6:00 PM', '7:00 PM - 12:00 AM']","['SGD\xa080', 'SGD\xa080', 'SGD\xa080', 'SGD\xa080', 'SGD\xa080', 'SGD\xa080']",3,6,No,"[5.0, 5.0, -19.0]","[['80'], ['80'], ['80'], ['80'], ['80'], ['80']]"
https://www.dayuse.sg/hotels/singapore/aerotel-transit-hotel-terminal-1,"['7:00 AM - 7:00 PM', '9:00 AM - 9:00 PM', '9:00 AM - 3:00 PM', '2:00 PM - 8:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa0349', 'SGD\xa0349', 'SGD\xa0234', 'SGD\xa0234', 'SGD\xa0234']",5,5,Yes,"[12.0, 12.0, 6.0, 6.0, 6.0]","[['349'], ['349'], ['234'], ['234'], ['234']]"
https://www.dayuse.sg/hotels/singapore/so-sofitel-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/the-quay-hotel-lavender,"['8:00 AM - 12:00 PM', '9:00 AM - 6:00 PM', '1:00 PM - 6:00 PM', '7:00 PM - 12:00 AM']","['SGD\xa080', 'SGD\xa090', 'SGD\xa090', 'SGD\xa0100', 'SGD\xa080', 'SGD\xa090', 'SGD\xa080', 'SGD\xa090']",4,8,No,"[4.0, 9.0, 5.0, -19.0]","[['80'], ['90'], ['90'], ['100'], ['80'], ['90'], ['80'], ['90']]"
https://www.dayuse.sg/hotels/singapore/hotel-mono-2,"['11:00 AM - 6:00 PM', '12:00 PM - 7:00 PM', '3:00 PM - 10:00 PM']","['SGD\xa069', 'SGD\xa079', 'SGD\xa089', 'SGD\xa069', 'SGD\xa079', 'SGD\xa089', 'SGD\xa069', 'SGD\xa079', 'SGD\xa089']",3,9,No,"[7.0, 7.0, 7.0]","[['69'], ['79'], ['89'], ['69'], ['79'], ['89'], ['69'], ['79'], ['89']]"
https://www.dayuse.sg/hotels/singapore/sandpiper-hotel-singapore-sg-clean,"['9:00 AM - 4:00 PM', '6:00 PM - 11:00 PM']","['SGD\xa060', 'SGD\xa070']",2,2,Yes,"[7.0, 5.0]","[['60'], ['70']]"
https://www.dayuse.sg/hotels/singapore/rest-bugis-hotel-sg-clean,"['9:00 AM - 1:00 PM', '11:00 AM - 3:00 PM', '8:00 PM - 12:00 AM']","['SGD\xa064', 'SGD\xa064', 'SGD\xa064']",3,3,Yes,"[4.0, 4.0, -20.0]","[['64'], ['64'], ['64']]"
https://www.dayuse.sg/hotels/singapore/hotel-nuve-elements-sg-clean,"['10:00 AM - 3:00 PM', '4:00 PM - 10:00 PM', '6:30 PM - 12:00 AM']","['SGD\xa065', 'SGD\xa075', 'SGD\xa080']",3,3,Yes,"[5.0, 6.0, -18.5]","[['65'], ['75'], ['80']]"
https://www.dayuse.sg/hotels/singapore/hotel-nuve-heritage-sg-clean,"['10:00 AM - 4:00 PM', '5:00 PM - 12:00 AM']","['SGD\xa080', 'SGD\xa0100', 'SGD\xa090', 'SGD\xa0110']",2,4,No,"[6.0, -17.0]","[['80'], ['100'], ['90'], ['110']]"
https://www.dayuse.sg/hotels/singapore/mercure-singapore-bugis,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/m-social-singapore-sg-clean,"['8:00 AM - 8:00 PM', '9:00 AM - 5:00 PM', '12:00 PM - 8:00 PM', '3:00 PM - 9:00 PM']","['SGD\xa090', 'SGD\xa0130', 'SGD\xa084', 'SGD\xa0120', 'SGD\xa084', 'SGD\xa0120', 'SGD\xa0110']",4,7,No,"[12.0, 8.0, 8.0, 6.0]","[['90'], ['130'], ['84'], ['120'], ['84'], ['120'], ['110']]"
https://www.dayuse.sg/hotels/singapore/travelodge-harbourfront,['5:00 PM - 11:00 PM'],['SGD\xa065'],1,1,Yes,[6.0],[['65']]
https://www.dayuse.sg/hotels/singapore/fairmont-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/capri-by-fraser-china-square-singapore,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/park-hotel-farrer-park,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/holiday-inn-express-singapore-orchard-road,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/park-avenue-changi,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/grand-park-city-hall,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/hotel-calmo-chinatown,"['8:00 AM - 2:00 PM', '12:00 PM - 6:00 PM', '5:00 PM - 11:00 PM']","['SGD\xa063', 'SGD\xa069', 'SGD\xa063', 'SGD\xa069', 'SGD\xa063', 'SGD\xa069']",3,6,No,"[6.0, 6.0, 6.0]","[['63'], ['69'], ['63'], ['69'], ['63'], ['69']]"
https://www.dayuse.sg/hotels/singapore/hotel-nuve-sg-clean,"['12:30 AM - 6:00 AM', '9:00 AM - 2:00 PM', '10:00 AM - 3:00 PM', '3:00 PM - 9:00 PM', '7:00 PM - 11:30 PM']","['SGD\xa065', 'SGD\xa055', 'SGD\xa060', 'SGD\xa0110', 'SGD\xa060', 'SGD\xa070', 'SGD\xa065']",5,7,No,"[5.5, 5.0, 5.0, 6.0, 4.5]","[['65'], ['55'], ['60'], ['110'], ['60'], ['70'], ['65']]"
https://www.dayuse.sg/hotels/singapore/hotel-royal-at-queens-sg-clean,"['8:00 AM - 2:00 PM', '12:00 PM - 6:00 PM', '3:00 PM - 9:00 PM', '5:00 PM - 11:00 PM']","['SGD\xa068', 'SGD\xa068', 'SGD\xa068', 'SGD\xa068']",4,4,Yes,"[6.0, 6.0, 6.0, 6.0]","[['68'], ['68'], ['68'], ['68']]"
https://www.dayuse.sg/hotels/singapore/ibis-singapore-on-bencoolen,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/hotel-1929,"['11:00 AM - 5:00 PM', '3:00 PM - 11:00 PM']","['SGD\xa060', 'SGD\xa070', 'SGD\xa060', 'SGD\xa070']",2,4,No,"[6.0, 8.0]","[['60'], ['70'], ['60'], ['70']]"
https://www.dayuse.sg/hotels/singapore/harbour-ville-hotel-hamilton-sg-clean,"['8:00 AM - 12:00 PM', '12:00 PM - 5:00 PM', '1:00 PM - 6:00 PM', '6:00 PM - 10:00 PM']","['SGD\xa050', 'SGD\xa052', 'SGD\xa065', 'SGD\xa070', 'SGD\xa060']",4,5,No,"[4.0, 5.0, 5.0, 4.0]","[['50'], ['52'], ['65'], ['70'], ['60']]"
https://www.dayuse.sg/hotels/singapore/naumi-singapore,"['10:00 AM - 6:00 PM', '11:00 AM - 7:00 PM', '12:00 PM - 8:00 PM']","['SGD\xa0135', 'SGD\xa0165', 'SGD\xa0195', 'SGD\xa0245', 'SGD\xa0135', 'SGD\xa0135']",3,6,No,"[8.0, 8.0, 8.0]","[['135'], ['165'], ['195'], ['245'], ['135'], ['135']]"
https://www.dayuse.sg/hotels/singapore/q-loft-hotelsatmackenzie,"['9:00 AM - 3:00 PM', '12:00 PM - 6:00 PM']","['SGD\xa061', 'SGD\xa055', 'SGD\xa061']",2,3,No,"[6.0, 6.0]","[['61'], ['55'], ['61']]"
https://www.dayuse.sg/hotels/singapore/hotel-1888-collection-sg-clean,"['11:00 AM - 3:00 PM', '8:00 PM - 12:00 AM']","['SGD\xa064', 'SGD\xa064']",2,2,Yes,"[4.0, -20.0]","[['64'], ['64']]"
https://www.dayuse.sg/hotels/singapore/q-loft-hotelsatbedok,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/the-scarlet-singapore,['8:00 AM - 8:00 PM'],"['SGD\xa0120', 'SGD\xa0140']",1,2,No,[12.0],"[['120'], ['140']]"
https://www.dayuse.sg/hotels/singapore/st-signature-bugis-beach-sg-clean-staycation-approved,"['12:00 AM - 7:00 AM', '8:00 AM - 5:00 PM', '9:00 AM - 2:00 PM', '11:00 AM - 7:00 PM', '4:00 PM - 9:00 PM', '7:00 PM - 12:00 AM']","['SGD\xa053', 'SGD\xa063', 'SGD\xa090', 'SGD\xa055', 'SGD\xa065', 'SGD\xa070', 'SGD\xa075', 'SGD\xa055', 'SGD\xa065', 'SGD\xa060']",6,10,No,"[7.0, 9.0, 5.0, 8.0, 5.0, -19.0]","[['53'], ['63'], ['90'], ['55'], ['65'], ['70'], ['75'], ['55'], ['65'], ['60']]"
https://www.dayuse.sg/hotels/singapore/sofitel-singapore-city-centre,['12:00 PM - 6:00 PM'],"['SGD\xa0190', 'SGD\xa0190', 'SGD\xa0290']",1,3,No,[6.0],"[['190'], ['190'], ['290']]"
https://www.dayuse.sg/hotels/singapore/the-fullerton-hotel-singapore-sg-clean,"['9:00 AM - 5:00 PM', '3:00 PM - 11:00 PM']","['SGD\xa0230', 'SGD\xa0250', 'SGD\xa0230', 'SGD\xa0250']",2,4,No,"[8.0, 8.0]","[['230'], ['250'], ['230'], ['250']]"
https://www.dayuse.sg/hotels/singapore/st-signature-chinatown,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/grand-park-orchard,[],[],0,0,Yes,[],[]
https://www.dayuse.sg/hotels/singapore/metropolitan-ymca-singapore,[],[],0,0,Yes,[],[]
